,Result,Time(s)
p1,9440.000000,0.001000
p2,8126.000000,0.000000
p3,10126.000000,0.000000
p4,12126.000000,0.000000
p5,9375.000000,0.000000
p6,8061.000000,0.000000
p7,10061.000000,0.000000
p8,12061.000000,0.000000
p9,9040.000000,0.000000
p10,7726.000000,0.000000
p11,9726.000000,0.000000
p12,11726.000000,0.000000
p13,12032.000000,0.000000
p14,9180.000000,0.000000
p15,13180.000000,0.000000
p16,17180.000000,0.000000
p17,12032.000000,0.000000
p18,9180.000000,0.000000
p19,13180.000000,0.000000
p20,17180.000000,0.000000
p21,12032.000000,0.000000
p22,9180.000000,0.000000
p23,13180.000000,0.000000
p24,17180.000000,0.000000
p25,19197.000000,0.000000
p26,16131.000000,0.000000
p27,21531.000000,0.000000
p28,26931.000000,0.000000
p29,19305.000000,0.000000
p30,16239.000000,0.000000
p31,21639.000000,0.000000
p32,27039.000000,0.000000
p33,19055.000000,0.000000
p34,15989.000000,0.000000
p35,21389.000000,0.000000
p36,26789.000000,0.000000
p37,19055.000000,0.000000
p38,15989.000000,0.000000
p39,21389.000000,0.000000
p40,26789.000000,0.000000
p41,7226.000000,0.000000
p42,9957.000000,0.000000
p43,12448.000000,0.000000
p44,7585.000000,0.001000
p45,9848.000000,0.000000
p46,12639.000000,0.000000
p47,6634.000000,0.000000
p48,9044.000000,0.000000
p49,12420.000000,0.000000
p50,10062.000000,0.000000
p51,11351.000000,0.000000
p52,10364.000000,0.000000
p53,12470.000000,0.000000
p54,10351.000000,0.000000
p55,11970.000000,0.000000
p56,23882.000000,0.000000
p57,32882.000000,0.000000
p58,53882.000000,0.000000
p59,39121.000000,0.000000
p60,23882.000000,0.001000
p61,32882.000000,0.000000
p62,53882.000000,0.000000
p63,39121.000000,0.000000
p64,23882.000000,0.001000
p65,32882.000000,0.000000
p66,53882.000000,0.000000
p67,39671.000000,0.000000
p68,23882.000000,0.000000
p69,32882.000000,0.000000
p70,53882.000000,0.000000
p71,39121.000000,0.000000
