,Result,Time(s)
p1,9142.000000,0.011000
p2,8104.000000,0.012000
p3,9824.000000,0.005000
p4,11261.000000,0.005000
p5,9348.000000,0.005000
p6,8061.000000,0.005000
p7,9905.000000,0.003000
p8,11705.000000,0.005000
p9,8598.000000,0.025000
p10,7617.000000,0.020000
p11,9064.000000,0.031000
p12,10301.000000,0.023000
p13,8500.000000,0.073000
p14,7169.000000,0.087000
p15,8892.000000,0.086000
p16,10492.000000,0.067000
p17,8438.000000,0.076000
p18,7214.000000,0.075000
p19,9014.000000,0.074000
p20,10669.000000,0.101000
p21,8114.000000,0.076000
p22,7092.000000,0.071000
p23,8746.000000,0.065000
p24,10327.000000,0.065000
p25,12107.000000,0.272000
p26,11086.000000,0.267000
p27,12886.000000,0.259000
p28,14686.000000,0.280000
p29,13672.000000,0.283000
p30,12162.000000,0.299000
p31,14562.000000,0.266000
p32,16953.000000,0.268000
p33,12143.000000,0.256000
p34,11131.000000,0.250000
p35,12802.000000,0.250000
p36,14402.000000,0.266000
p37,11460.000000,0.227000
p38,10594.000000,0.238000
p39,12067.000000,0.248000
p40,13273.000000,0.209000
p41,6810.000000,0.037000
p42,5743.000000,0.092000
p43,5220.000000,0.115000
p44,7585.000000,0.027000
p45,6297.000000,0.090000
p46,6035.000000,0.126000
p47,6634.000000,0.020000
p48,5613.000000,0.081000
p49,5393.000000,0.136000
p50,9454.000000,0.046000
p51,7576.000000,0.094000
p52,9588.000000,0.011000
p53,8607.000000,0.102000
p54,9702.000000,0.008000
p55,8228.000000,0.087000
p56,21406.000000,0.470000
p57,26897.000000,0.428000
p58,38867.000000,0.370000
p59,28709.000000,0.428000
p60,20605.000000,0.361000
p61,25332.000000,0.367000
p62,33714.000000,0.321000
p63,25399.000000,0.332000
p64,20530.000000,0.350000
p65,24705.000000,0.318000
p66,31643.000000,0.318000
p67,25032.000000,0.354000
p68,20687.000000,0.376000
p69,24681.000000,0.334000
p70,32816.000000,0.325000
p71,26211.000000,0.355000
